Namn,Sålt,Exklusive-moms,Inklusive-moms,Month
Läsk,75,"2009,02kr","2250,00kr",June
"PANINI,Italian Stallion",42,"3187,47kr","3570,00kr",June
"KAFFE,Bryggkaffe",40,"892,80kr","1000,00kr",June
GUTE,34,"1062,50kr","1190,00kr",June
"PANINI,Peppes Pere",29,"2200,84kr","2465,00kr",June
Citron,25,"558,01kr","625,00kr",June
Strips,23,"1026,74kr","1150,00kr",June
"KAFFE,Espresso m. Mjölk",18,"473,24kr","530,00kr",June
"P-PANINI,Stallion",16,"857,12kr","960,00kr",June
ÖL,16,"571,40kr","640,00kr",June
"TRIUMF,Skruven",15,"227,70kr","255,00kr",June
"PANINI,Calles Cubano",14,"1062,46kr","1190,00kr",June
"TRIUMF,Sitting Bull",12,"171,47kr","192,00kr",June
"TRIUMF,Dumle",11,"275,00kr","308,00kr",June
Lime,11,"245,52kr","275,00kr",June
"TRIUMF,Snickers",11,"235,72kr","264,00kr",June
"PANINI,Arons Aubergine",10,"758,91kr","850,00kr",June
"TRIUMF,Salt Lakrits",9,"225,00kr","252,00kr",June
"P-PANINI,Calles",8,"428,56kr","480,00kr",June
Kids Croque,8,"288,00kr","360,00kr",June
"TRIUMF,Brynt Smör",8,"200,00kr","224,00kr",June
"KAFFE,Dubbel Espresso",8,"178,56kr","200,00kr",June
"PANINI,Jacks Bagnat",7,"531,23kr","595,00kr",June
"P-PANINI,Peppes",7,"374,99kr","420,00kr",June
"P-PANINI,Aubergine",5,"267,85kr","300,00kr",June
Vitlöksbröd,5,"178,57kr","200,00kr",June
"TRIUMF,Sandwich",5,"89,30kr","100,00kr",June
"TRIUMF,Strawberry White",4,"107,15kr","120,00kr",June
"P-PANINI,Jacks",1,"53,57kr","60,00kr",June
"P-PANINI,Stoffe",1,"44,64kr","50,00kr",June
